event;event_label;time;line_id;landmark_label;landmark_type;relatum_label;relatum_type;relation_type;change_type;change_on;attribute_type;outdates;makes_effective
1;place du Bataillon du Pacifique || Historique || Elle avait été provisoirement dénommée AT/12.;;9198_historique;place du Bataillon du Pacifique;thoroughfare;;;;attribute_version_transition;attribute;name;voie AT/12;place du Bataillon du Pacifique
2;place du Bataillon du Pacifique || Dénomination || Arrêté municipal du 12 juillet 1985.;12/07/1985;9198_denomination;place du Bataillon du Pacifique;thoroughfare;;;;attribute_version_transition;attribute;name;;place du Bataillon du Pacifique
3;place Jules Joffrin || Ouverture || Decret du 8 juin 1858 (UP).;1858-06-08;11578_ouverture;place Jules Joffrin;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
4;place Jules Joffrin || Classement || Decret du 23 mai 1863, dans la voirie parisienne;1863-05-23;11578_classement_1;place Jules Joffrin;thoroughfare;Paris;municipality;within;classement;landmark;;;
5;place Jules Joffrin || Classement || Precedemment voie de l'ancienne commune de Montmartre.;;11578_classement_2;place Jules Joffrin;thoroughfare;Montmartre;municipality;within;disappearance;relation;;;
6;place Jules Joffrin || Historique || Precedemment place Sainte-Euphrasie.;;11578_historique;place Jules Joffrin;thoroughfare;;;;attribute_version_transition;attribute;name;place Sainte-Euphrasie;place Jules Joffrin
7;place Jules Joffrin || Denomination || Arrete du 29 juillet 1895.;1895-07-29;11578_denomination;place Jules Joffrin;thoroughfare;;;;attribute_version_transition;attribute;name;;place Jules Joffrin
8;avenue Ledru-Rollin || Historique || Précédemment, avenue Lacuée (arrêté du 19 août 1864) dans les parties A et B;1864-08-19;11753_historique_1;avenue Lacuée;thoroughfare;;;;attribute_version_transition;attribute;name;;avenue Lacuée
9;avenue Ledru-Rollin || Historique || Précédemment, [...] rue de Genève (arr. du 1er février 1877) dans la partie N.;1877-02-01;11753_historique_2;rue de Genève;thoroughfare;;;;attribute_version_transition;attribute;name;;rue de Genève
10;avenue Ledru-Rollin || Dénomination || Arrêté du 16 août 1879, parties A, B et N.;1879-08-16;11753_denomination;avenue Ledru-Rollin;thoroughfare;;;;attribute_version_transition;attribute;name;;avenue Ledru-Rollin
11;avenue Ledru-Rollin || Numérotation || Arrêté du 11 avril 1890, partie C;1890-04-11;11753_numerotation_1;avenue Ledru-Rollin;thoroughfare;;;;numerotation;landmark;;;
12;avenue Ledru-Rollin || Numérotation || Arrêté du 25 mars 1899, partie D.;1899-03-25;11753_numerotation_2;avenue Ledru-Rollin;thoroughfare;;;;numerotation;landmark;;;
13;avenue Ledru-Rollin || Numérotation || Arrêté du 4 août 1921, partie M.;04/08/1921;11753_numerotation_3;avenue Ledru-Rollin;thoroughfare;;;;numerotation;landmark;;;
14;avenue Ledru-Rollin || Numérotation || Arrêté du 14 novembre 1879, entre le passage Charles Dallery et la rue Basfroi (N).;1879-11-14;11753_numerotation_4;avenue Ledru-Rollin;thoroughfare;;;;numerotation;landmark;;;
14;avenue Ledru-Rollin || Numérotation || Arrêté du 14 novembre 1879, entre le passage Charles Dallery et la rue Basfroi (N).;;11753_numerotation_4;passage Charles Dallery;thoroughfare;;;;;;;;
14;avenue Ledru-Rollin || Numérotation || Arrêté du 14 novembre 1879, entre le passage Charles Dallery et la rue Basfroi (N).;;11753_numerotation_4;rue Basfroi;thoroughfare;;;;;;;;
15;avenue Ledru-Rollin || Numérotation || Arrêté du 6 juin 1931, partie F.;06/06/1931;11753_numerotation_5;avenue Ledru-Rollin;thoroughfare;;;;numerotation;landmark;;;
16;avenue Ledru-Rollin || ouverture || Décret du 16 avril 1859 (UP), entre la rue de Lyon et l'avenue Daumesnil (B).;1859-04-16;11753_ouverture_1;avenue Ledru-Rollin;thoroughfare;rue de Lyon#avenue Daumesnil;thoroughfare#thoroughfare;between;attribute_version_transition;attribute;geometry;;
17;avenue Ledru Rollin || ouverture || Décret du 16 avril 1883 (UP), tronçon d'une longueur de 70 m environ à partir de l'avenue Daumesnil.;1883-04-16;11753_ouverture_2;avenue Ledru-Rollin;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
17;avenue Ledru Rollin || ouverture || Décret du 16 avril 1883 (UP), tronçon d'une longueur de 70 m environ à partir de l'avenue Daumesnil.;;11753_ouverture_2;avenue Daumesnil;thoroughfare;;;;;;;;
18;avenue Ledru Rollin || ouverture || Décret du 12 août 1887 (UP), achèvement de la partie comprise entre l'avenue Daumesnil et la rue du Faubourg Saint-Antoine (C).;1887-08-12;11753_ouverture_3;avenue Ledru-Rollin;thoroughfare;rue du Faubourg Saint-Antoine#avenue Daumesnil;thoroughfare#thoroughfare;between;attribute_version_transition;attribute;geometry;;
19;avenue Ledru Rollin || ouverture || Décret du 11 décembre 1895 (UP), entre les rues du Faubourg Saint-Antoine et de Charonne (D).;1895-12-11;11753_ouverture_4;avenue Ledru-Rollin;thoroughfare;rue du Faubourg Saint-Antoine#rue de Charonne;thoroughfare#thoroughfare;between;attribute_version_transition;attribute;geometry;;
20;avenue Ledru Rollin || ouverture || Décret du 30 janvier 1912 (UP), entre la rue de Charonne et le passage Charles Dallery (M).;30/01/1912;11753_ouverture_5;avenue Ledru-Rollin;thoroughfare;rue de Charonne#passage Charles Dallery;thoroughfare#thoroughfare;between;attribute_version_transition;attribute;geometry;;
21;avenue Ledru Rollin || ouverture || Décret du 27 mai 1924 (UP), entre les rues Basfroi et Godefroy Cavaignac (F), partie exécutée en 1931.;27/05/1924;11753_ouverture_6;avenue Ledru-Rollin;thoroughfare;rue Basfroi#rue Godefroy Cavaignac;thoroughfare#thoroughfare;between;attribute_version_transition;attribute;geometry;;
22;rue Albert Sorel || Dénomination || Arrêté du 11 janvier 1932.;11/01/1932;8849_denomination;rue Albert Sorel;thoroughfare;;;;attribute_version_transition;attribute;name;;rue Albert Sorel
23;rue Albert Sorel || Numérotation || Arrêté du 24 mars 1932.;24/03/1932;8849_numerotation;rue Albert Sorel;thoroughfare;;;;numerotation;landmark;;;
24;rue Albert Sorel || Historique || Ouverte par l'Office public d'Habitations de la Ville de Paris sur l'emplacement du bastion 79.;;8849_historique;rue Albert Sorel;thoroughfare;;;;attribute_version_transition;attribute;geometry;;
24;rue Albert Sorel || Historique || Ouverte par l'Office public d'Habitations de la Ville de Paris sur l'emplacement du bastion 79.;;8849_historique;bastion 79;structure;;;;;;;;
25;rue Albert Sorel || Classement || Arrêté du 3 janvier 1962.;03/01/1962;8849_classement;rue Albert Sorel;thoroughfare;;;;classement;landmark;;;
26;rue Armand Carrel || Historique || Un décret du 16 juillet 1938, non exécuté, avait déclaré d'utilité publique le prolongement de la rue Armand Carrel jusqu'à l'avenue Jean Jaurès (C).;16/07/1938;9051_historique;rue Armand Carrel;thoroughfare;;;;;;;;
27;rue Armand Carrel || Dénomination || Décret du 3 décembre 1885.;1885-12-03;9051_denomination_1;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;name;;rue Armand Carrel
28;rue Armand Carrel || Dénomination || Arrêté municipal du 7 juin 1990, partie comprise entre la rue Clovis Hugues, l'avenue Jean Jaurès, et la rue Bouret.;07/06/1990;9051_denomination_2;rue Armand Carrel;thoroughfare;;;;attribute_version_transition;attribute;name;;rue Armand Carrel
28;rue Armand Carrel || Dénomination || Arrêté municipal du 7 juin 1990, partie comprise entre la rue Clovis Hugues, l'avenue Jean Jaurès, et la rue Bouret.;;9051_denomination_2;rue Clovis Hugues;thoroughfare;;;;;;;;
28;rue Armand Carrel || Dénomination || Arrêté municipal du 7 juin 1990, partie comprise entre la rue Clovis Hugues, l'avenue Jean Jaurès, et la rue Bouret.;;9051_denomination_2;avenue Jean Jaurès;thoroughfare;;;;;;;;
28;rue Armand Carrel || Dénomination || Arrêté municipal du 7 juin 1990, partie comprise entre la rue Clovis Hugues, l'avenue Jean Jaurès, et la rue Bouret.;;9051_denomination_2;rue Bouret;thoroughfare;;;;;;;;
29;rue Armand Carrel || Classement || Décret du 26 mars 1885, depuis la place Armand Carrel jusqu'au droit des nos 11 et 16 (A).;1885-03-16;9051_classement;rue Armand Carrel;thoroughfare;;;;;;;;
