validated	event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
X	1	port de la conférence || Dénomination || Décision préfectorale 18 juillet 1905	1905-07-18	10010_dénomination	Port de la Conférence	thoroughfare				attribute_version_transition	attribute	name		port de la Conférence
X	2	avenue constant coquelin || Classement || Arrêté du 9 juin 1931	1931-06-09	10017_classement	Avenue Constant Coquelin	thoroughfare				classement	landmark			
X	3	avenue constant coquelin || Ouverture || Créée en 1911	1911	10017_ouverture	Avenue Constant Coquelin	thoroughfare				attribute_version_transition	attribute	geometry		
X	4	boulevard de courcelles || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	10063_classement_1	Boulevard de Courcelles	thoroughfare				classement	landmark			
X	5	boulevard de courcelles || Classement || Précédemment voie de l'ancienne commune des Batignolles et de la commune de Neuilly		10063_classement_2	Boulevard de Courcelles	thoroughfare				classement	landmark			
X	6	boulevard de courcelles || Dénomination || Arrêté du 30 décembre 1864	1864-12-30	10063_dénomination	Boulevard de Courcelles	thoroughfare				attribute_version_transition	attribute	name		boulevard de Courcelles
	7	boulevard de courcelles || Historique || Précédemment : 1° A l'extérieur de l'ancien mur d'octroi : boulevard de Monceau, entre l'avenue de Villiers et la rue de Courcelles		10063_historique_1	Boulevard de Courcelles	thoroughfare								
	8	boulevard de courcelles || Historique || boulevard de Courcelles, le surplus		10063_historique_2	Boulevard de Courcelles	thoroughfare								
	9	boulevard de courcelles || Historique || 2° A l'intérieur de l'ancien mur d'octroi : chemin de ronde de Courcelles, entre la rue de Courcelles et l'avenue de Wagram		10063_historique_3	Boulevard de Courcelles	thoroughfare								
X	10	boulevard de courcelles || Historique || La partie comprise entre les rues Georges Berger et de Prony, a été dénommée place de la République Dominicaine par arr du 30 août 1958	1958-08-30	10063_historique_4	Place de la République Dominicaine	thoroughfare				attribute_version_transition	attribute	name		place de la République Dominicaine
X	11	boulevard de courcelles || Historique || Le carrefour formé avec les rues de Courcelles et de Chazelles a été dénommé place de la République de l'Equateur en 1971	1971	10063_historique_5	Place de la République de l'Equateur	thoroughfare				attribute_version_transition	attribute	name		place de la République de l'Equateur
	12	boulevard de courcelles || Historique || Une partie du boulevard de Courcelles située au débouché de l'avenue de Villiers a été nommée place Prosper Goubaux		10063_historique_6	Boulevard de Courcelles	thoroughfare								
A	13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	thoroughfare				attribute_version_transition	attribute	geometry		
